Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_getkeyat
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_getvalueat
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_hashkey
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_setkeyat
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_setkv
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_setkvintern
  0.00      0.17     0.00       14     0.00     0.00  mc_valdict_setvalueat
  0.00      0.17     0.00       14     0.00     0.00  mc_valmap_getkeyat
  0.00      0.17     0.00       14     0.00     0.00  mc_valmap_getvalueat
  0.00      0.17     0.00       14     0.00     0.00  mc_valmap_setvalstring
  0.00      0.17     0.00       14     0.00     0.00  mc_valmap_setvalue
  0.00      0.17     0.00       14     0.00     0.00  mc_valstring_gethash
  0.00      0.17     0.00       14     0.00     0.00  mc_value_callbackhash
  0.00      0.17     0.00       13     0.00     0.00  dyn_strbuf_resize
  0.00      0.17     0.00       12     0.00     0.00  mc_basicarray_set
  0.00      0.17     0.00       11     0.00     0.00  mc_compiler_addconstant
  0.00      0.17     0.00       11     0.00     0.00  mc_symtable_destroy
  0.00      0.17     0.00       10     0.00     0.00  mc_astcompscope_destroy
  0.00      0.17     0.00       10     0.00     0.00  mc_astcompscope_make
  0.00      0.17     0.00       10     0.00     0.00  mc_compiler_popcompilationscope
  0.00      0.17     0.00       10     0.00     0.00  mc_compiler_popsymtable
  0.00      0.17     0.00       10     0.00     0.00  mc_compiler_pushcompilationscope
  0.00      0.17     0.00       10     0.00     0.00  mc_compiler_pushsymtable
  0.00      0.17     0.00       10     0.00     0.00  mc_symtable_make
  0.00      0.17     0.00        9     0.00     0.00  mc_astcompresult_destroy
  0.00      0.17     0.00        9     0.00     0.00  mc_astcompresult_make
  0.00      0.17     0.00        9     0.00     0.00  mc_astcompscope_orphanresult
  0.00      0.17     0.00        9     0.00     0.00  mc_astexpr_makereturnexpr
  0.00      0.17     0.00        9     0.00     0.00  mc_compiler_compilereturnstmt
  0.00      0.17     0.00        9     0.00     0.00  mc_compiler_compilestmtlist
  0.00      0.17     0.00        9     0.00     0.00  mc_compiler_getlastopcode
  0.00      0.17     0.00        9     0.00     0.00  mc_compiler_lastopcodeis
  0.00      0.17     0.00        9     0.00     0.00  mc_parser_parsereturnstmt
  0.00      0.17     0.00        9     0.00     0.00  mc_vallist_destroy
  0.00      0.17     0.00        9     0.00     0.00  mc_vallist_ensurecapacity
  0.00      0.17     0.00        9     0.00     0.00  mc_vallist_make
  0.00      0.17     0.00        8     0.00     0.00  mc_astexpr_makeliteralfunction
  0.00      0.17     0.00        8     0.00     0.00  mc_lexer_peektokenis
